case_id,subject_id,scenario_name,trajectory_id,hip_delta,knee_delta,phase_delta,parent_reference_sha256,geometrically_admissible,J_pred,domain_coverage,model_supported,prediction_label,distance_to_supported_region,distance_to_supported_region_definition,can_calculate_equals_can_trust,diagnostic_model_trial_id,diagnostic_model_type,diagnostic_model_status,diagnostic_model_approval_status,diagnostic_model_human_readiness,diagnostic_identification_dataset_sha256,candidate_type,current_best_J_pred,delta_J_pred_vs_current,predicted_improvement_magnitude,validation_uncertainty_bound,algorithm_equivalence_tolerance,improvement_margin,support_role,distance_role,decision_guard_rule_status,validation_pair_count,current_model_supported,decision_guard_status,research_exploit_eligible,support_alone_approved_exploit,formal_personalization_approval,iteration,policy_id,selected_for_execution,selection_mode,guard_id,bundle_decision_id,stopping_rule_id,authorization_mode,D0_current_guard_authorized,D1_independent_P95_margin,D1_independent_P95_authorized,old_G2_development_P95_margin,old_G2_development_P95_authorized,independent_one_step_P95,truth_used_for_comparator
baseline__matched_linear,baseline,matched_linear,asym_h+1.000_k+0.000_p+0.00000,1,0,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,0.998074939614,77.0573566085,False,UNSUPPORTED_EXTRAPOLATION,8.54400374532,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,2,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,c3cdea05efe451e354c96074380f4dc299a5d8989b0c95a8ea6c111daac33ef1,LOCAL_EXPLOIT_NEIGHBORHOOD,1,-0.00192506038597,0.00192506038597,1.7386980744e-11,0.005,-0.00307493963141,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,RESEARCH_ONLY_VIRTUAL_CANDIDATE,1,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,False,False,1,R0_P2_V1_G0_NO_BUNDLE_S0,False,,G0_CURRENT_GLOBAL_MAX,NO_BUNDLE,S0_CURRENT_CONTINUATION,DIRECT_ONE_STEP,False,-0.00504256242295,False,-0.00350589637295,False,0.00196762280892,False
baseline__matched_linear,baseline,matched_linear,asym_h-1.000_k+0.000_p+0.00000,-1,0,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,1.00196659233,81.2967581047,False,UNSUPPORTED_EXTRAPOLATION,3,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,2,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,c3cdea05efe451e354c96074380f4dc299a5d8989b0c95a8ea6c111daac33ef1,LOCAL_EXPLOIT_NEIGHBORHOOD,1,0.00196659232957,-0.00196659232957,1.7386980744e-11,0.005,-0.00696659234695,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,RESEARCH_ONLY_VIRTUAL_CANDIDATE,1,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,False,False,1,R0_P2_V1_G0_NO_BUNDLE_S0,False,,G0_CURRENT_GLOBAL_MAX,NO_BUNDLE,S0_CURRENT_CONTINUATION,DIRECT_ONE_STEP,False,-0.00893421513849,False,-0.00739754908849,False,0.00196762280892,False
baseline__matched_linear,baseline,matched_linear,asym_h+0.000_k+1.000_p+0.00000,0,1,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,1.00598501752,77.3067331671,False,UNSUPPORTED_EXTRAPOLATION,8.0622577483,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,2,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,c3cdea05efe451e354c96074380f4dc299a5d8989b0c95a8ea6c111daac33ef1,LOCAL_EXPLOIT_NEIGHBORHOOD,1,0.00598501751547,-0.00598501751547,1.7386980744e-11,0.005,-0.0109850175329,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,RESEARCH_ONLY_VIRTUAL_CANDIDATE,1,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,False,False,1,R0_P2_V1_G0_NO_BUNDLE_S0,False,,G0_CURRENT_GLOBAL_MAX,NO_BUNDLE,S0_CURRENT_CONTINUATION,DIRECT_ONE_STEP,False,-0.0129526403244,False,-0.0114159742744,False,0.00196762280892,False
baseline__matched_linear,baseline,matched_linear,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,0.994092004847,81.7955112219,False,UNSUPPORTED_EXTRAPOLATION,4,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,2,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,c3cdea05efe451e354c96074380f4dc299a5d8989b0c95a8ea6c111daac33ef1,LOCAL_EXPLOIT_NEIGHBORHOOD,1,-0.00590799515335,0.00590799515335,1.7386980744e-11,0.005,0.000907995135958,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,RESEARCH_ONLY_VIRTUAL_CANDIDATE,1,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,False,False,1,R0_P2_V1_G0_NO_BUNDLE_S0,False,,G0_CURRENT_GLOBAL_MAX,NO_BUNDLE,S0_CURRENT_CONTINUATION,DIRECT_ONE_STEP,False,-0.00105962765557,False,0.000477038394421,False,0.00196762280892,False
baseline__matched_linear,baseline,matched_linear,asym_h+0.000_k+0.000_p+0.01000,0,0,0.01,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,0.999912563592,78.5536159601,False,UNSUPPORTED_EXTRAPOLATION,5,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,2,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,c3cdea05efe451e354c96074380f4dc299a5d8989b0c95a8ea6c111daac33ef1,LOCAL_EXPLOIT_NEIGHBORHOOD,1,-8.74364078128e-05,8.74364078128e-05,1.7386980744e-11,0.005,-0.00491256360957,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,RESEARCH_ONLY_VIRTUAL_CANDIDATE,1,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,False,False,1,R0_P2_V1_G0_NO_BUNDLE_S0,False,,G0_CURRENT_GLOBAL_MAX,NO_BUNDLE,S0_CURRENT_CONTINUATION,DIRECT_ONE_STEP,False,-0.00688018640111,False,-0.00534352035111,False,0.00196762280892,False
baseline__matched_linear,baseline,matched_linear,asym_h+0.000_k+0.000_p-0.01000,0,0,-0.01,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,1.00009965399,78.5536159601,False,UNSUPPORTED_EXTRAPOLATION,5,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,2,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,c3cdea05efe451e354c96074380f4dc299a5d8989b0c95a8ea6c111daac33ef1,LOCAL_EXPLOIT_NEIGHBORHOOD,1,9.96539946827e-05,-9.96539946827e-05,1.7386980744e-11,0.005,-0.00509965401207,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,RESEARCH_ONLY_VIRTUAL_CANDIDATE,1,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,False,False,1,R0_P2_V1_G0_NO_BUNDLE_S0,False,,G0_CURRENT_GLOBAL_MAX,NO_BUNDLE,S0_CURRENT_CONTINUATION,DIRECT_ONE_STEP,False,-0.0070672768036,False,-0.00553061075361,False,0.00196762280892,False
baseline__matched_linear,baseline,matched_linear,asym_h+1.000_k+0.000_p+0.00000,1,0,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,0.998074939614,82.7930174564,False,UNSUPPORTED_EXTRAPOLATION,3,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,3,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,5301afefd33ddb6a2ab2eab68f61423414c38f2d0ca2a03da89c5421866bc654,LOCAL_EXPLOIT_NEIGHBORHOOD,1,-0.00192506038597,0.00192506038597,1.7386980744e-11,0.005,-0.00307493963141,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,RESEARCH_ONLY_VIRTUAL_CANDIDATE,1,True,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,False,False,2,R0_P2_V1_G0_NO_BUNDLE_S0,False,,G0_CURRENT_GLOBAL_MAX,NO_BUNDLE,S0_CURRENT_CONTINUATION,DIRECT_ONE_STEP,False,-0.00504256242295,False,-0.00350589637295,False,0.00196762280892,False
baseline__matched_linear,baseline,matched_linear,asym_h-1.000_k+0.000_p+0.00000,-1,0,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,1.00196659233,100,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,3,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,5301afefd33ddb6a2ab2eab68f61423414c38f2d0ca2a03da89c5421866bc654,LOCAL_EXPLOIT_NEIGHBORHOOD,1,0.00196659232957,-0.00196659232957,1.7386980744e-11,0.005,-0.00696659234695,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,RESEARCH_ONLY_VIRTUAL_CANDIDATE,1,True,SUPPORTED_BUT_DECISION_UNRELIABLE,False,False,False,2,R0_P2_V1_G0_NO_BUNDLE_S0,False,,G0_CURRENT_GLOBAL_MAX,NO_BUNDLE,S0_CURRENT_CONTINUATION,DIRECT_ONE_STEP,False,-0.00893421513849,False,-0.00739754908849,False,0.00196762280892,False
baseline__matched_linear,baseline,matched_linear,asym_h+0.000_k+1.000_p+0.00000,0,1,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,1.00598501752,81.2967581047,False,UNSUPPORTED_EXTRAPOLATION,3,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,3,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,5301afefd33ddb6a2ab2eab68f61423414c38f2d0ca2a03da89c5421866bc654,LOCAL_EXPLOIT_NEIGHBORHOOD,1,0.00598501751547,-0.00598501751547,1.7386980744e-11,0.005,-0.0109850175329,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,RESEARCH_ONLY_VIRTUAL_CANDIDATE,1,True,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,False,False,2,R0_P2_V1_G0_NO_BUNDLE_S0,False,,G0_CURRENT_GLOBAL_MAX,NO_BUNDLE,S0_CURRENT_CONTINUATION,DIRECT_ONE_STEP,False,-0.0129526403244,False,-0.0114159742744,False,0.00196762280892,False
baseline__matched_linear,baseline,matched_linear,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,0.994092004847,100,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,3,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,5301afefd33ddb6a2ab2eab68f61423414c38f2d0ca2a03da89c5421866bc654,LOCAL_EXPLOIT_NEIGHBORHOOD,1,-0.00590799515335,0.00590799515335,1.7386980744e-11,0.005,0.000907995135958,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,RESEARCH_ONLY_VIRTUAL_CANDIDATE,1,True,RESEARCH_EXPLOIT_ELIGIBLE,True,False,False,2,R0_P2_V1_G0_NO_BUNDLE_S0,False,,G0_CURRENT_GLOBAL_MAX,NO_BUNDLE,S0_CURRENT_CONTINUATION,DIRECT_ONE_STEP,True,-0.00105962765557,False,0.000477038394421,True,0.00196762280892,False
