channel_id,channel,software_status,available_now_for_formal_research,requires_validation,planned,model_input_role,optimization_target_role,context_or_safety_role,evidence_path,limitation
R_STATE_Q,robot joint position,CODE_PATH_PRESENT_FAIL_CLOSED,False,True,False,PRIMARY_KINEMATIC_INPUT_CANDIDATE,NO,STATE_VALIDITY_AND_TRACKING,collection/state.py;hardware/rokae_adapter.py,"requires actual robot identity, timing and accuracy validation"
R_STATE_DQ,robot joint velocity,HOST_DIFFERENCE_ESTIMATE_PATH_PRESENT,False,True,False,KINEMATIC_INPUT_CANDIDATE,NO,MOTION_QUALITY,hardware/windows/rokae_xcore.py;collection/state.py,not an SDK device velocity; differentiation timing/noise need validation
R_STATE_DDQ,derived acceleration,DERIVED_SCHEMA_ONLY_NOT_ENDPOINT_READY,False,True,True,CONDITIONAL_DYNAMICS_INPUT,NO,MOTION_QUALITY,collection/state.py,"derivative method, filtering, delay and repeatability not frozen"
R_TCP,TCP pose/state,CODE_PATH_PRESENT_FAIL_CLOSED,False,True,False,CONTEXT_AND_GEOMETRY,NO,PRIMARY_CONTEXT_AND_SAFETY,hardware/rokae_adapter.py;collection/state.py,base-frame/state cadence need setup-specific verification
R_TRACK,trajectory tracking error,DERIVABLE_NOT_FROZEN_AS_EPISODE_FEATURE,False,True,True,QUALITY_COVARIATE,SECONDARY_PENALTY_CANDIDATE_ONLY,EXECUTION_QUALITY_GATE,collection/state.py;control/robot_trajectory_executor.py,command-observation alignment and acceptable tracking criteria not frozen
R_WRENCH,internal estimated Cartesian wrench,GETENDTORQUE_PATH_PRESENT_UNVALIDATED,False,True,False,PRIMARY_MECHANICAL_INPUT_CANDIDATE,PRIMARY_ENDPOINT_SOURCE_CANDIDATE,MECHANICAL_SAFETY_DIAGNOSTIC,hardware/rokae_adapter.py;collection/snapshot.py,"frame rotation, reference point, bias, sign, delay, timing and physical validity require real-setup validation"
R_JOINT_TAU,joint measured/external torque estimates,TYPED_SDK_RESULT_PATH_PRESENT_UNVALIDATED,False,True,False,MECHANICAL_INPUT_CANDIDATE,SECONDARY_ENDPOINT_CANDIDATE,SAFETY_DIAGNOSTIC,collection/state.py;hardware/windows/rokae_xcore.py,availability and controller semantics require setup-specific confirmation
T_RAW,tactile raw pressure map,NOT_IMPLEMENTED,False,True,True,PLANNED_INTERACTION_INPUT,NO_UNTIL_CALIBRATED,PLANNED_CONTACT_DIAGNOSTIC,none in active hardware/collection/control source,"sensor, calibration, acquisition, timing and spatial mapping absent"
T_FEATURES,peak/mean/concentration/centroid/temporal pressure features,NOT_IMPLEMENTED_DEPENDS_ON_T_RAW,False,True,True,PLANNED_EPISODE_FEATURES,SECONDARY_OR_FUTURE_ENDPOINT_CANDIDATES,CONTACT_DISTRIBUTION_DIAGNOSTIC,none,feature semantics and repeatability cannot precede raw-sensor validation
H_RATING,direct scalar subject rating,NOT_IMPLEMENTED_OPTIONAL_EXTENSION,False,True,False,PREFERENCE_LABEL_IF_APPROVED,PREFERENCE_BRANCH_ONLY,NO,none,"requires human protocol, ethics, scale design and repeatability evidence"
H_PAIRWISE,direct pairwise trajectory preference,NOT_IMPLEMENTED_OPTIONAL_EXTENSION,False,True,False,PREFERENCE_LABEL_IF_APPROVED,PREFERENCE_BO_BRANCH_ONLY,NO,none,"requires human protocol, ethics, comparison design and burden analysis"
