parameter_id,class,compiled_field,xml_semantic,model_semantic,units,specificity,requires_recompile,changes_geometry,changes_normalized_muscle_coordinate,knee_patella_equality_compatible,evidence_level,audit_decision,nominal_value,source_model_path
A01,muscle,"actuator_gainprm[:,0:2]",muscle.range,normalized muscle operating interval used to map transmission length,dimensionless,muscle-specific,no,no,yes,yes,E3,candidate only with explicit mapping; not physiological optimal fiber length,range0=0.1..1.36664; range1=1.1024..1.8,external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
A02,muscle,"actuator_gainprm[:,4:6]",muscle.lmin/lmax,normalized length support of built-in muscle curve,dimensionless,muscle-specific,no,no,yes,yes,E3,candidate for coherent local/pilot variation; population range absent,lmin=0..0.824721; lmax=1.50093..3.5,external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
A03,muscle,"actuator_gainprm[:,7]",muscle.fpmax,maximum normalized passive force parameter,dimensionless,muscle-specific,no,no,no,yes,E3,V1 common group scaling retained as negative result; relative families are separate candidate,fpmax=0.806346..2,external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
A04,muscle,"actuator_gainprm[:,2]",muscle.force,force scaling F0 for built-in muscle,N,muscle-specific,no,no,no,yes,E2/E3,relative anatomical family balance candidate; not direct tissue strength,force=245.514..5322.59,external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
A05,muscle,actuator_lengthrange,general.lengthrange,feasible transmission length range used by muscle normalization,m,muscle-specific,compile-derived/source-explicit,no,yes,yes,E4,protected; not a physiological fiber-length parameter,lengthrange=0.0229136..0.713662 m,external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
B01,tendon path,site_pos,site.pos,attachment/via point in parent-body coordinates,m,site-specific,source recompile for coherent change,yes,indirect,conditional,E2,single-site mutation prohibited; path and calibration must be rebuilt together,384 compiled sites,external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
B02,tendon path,geom_pos/geom_size,wrap geom pos/size,spatial wrap surface controlling routing,m,wrap-specific,yes,yes,indirect,conditional,E2,requires subject-specific geometry and muscle-length calibration,89 compiled geoms,external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
C01,segment,body_pos/body_ipos,body.pos/inertial.pos,joint placement and COM location,m,body-specific,usually yes,yes,no,conditional,E1/E2,segment change requires coupled geometry rebuild,body-specific compiled coordinates,external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
C02,segment,body_mass/body_inertia,inertial mass/diaginertia,rigid-body mass and inertia,kg / kg m2,body-specific,no,no,no,yes,E1/E2,V1 magnitude-dominant; retain as background/secondary,mass=0..37.4 kg,external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
D01,joint,dof_damping,joint.damping,linear viscous generalized force,N m s/rad,DOF-specific,no,no,no,yes,E4,actual non-limit field but overlaps gray-box Bknee/Bhip; stress/secondary only,hip=0.5; knee=0.5,external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
D02,joint,jnt_stiffness/qpos_spring,joint.stiffness/springref,linear joint spring,N m/rad,joint-specific,no,no,no,yes,E4,nominal hip and knee stiffness are zero,hip=0; knee=0,external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
D03,joint limit,jnt_range/jnt_solref/jnt_solimp,joint range/solver impedance,constraint limit mechanics,rad / solver,joint-specific,source or runtime,no,no,conditional,E4,simulator limit artifact; never subject physiology,"hip=[-0.523599, 2.0944]; knee=[0.0, 2.0944]",external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
E01,tendon,tendon_stiffness/tendon_damping,spatial tendon stiffness/damping,N/m / N s/m,tendon-specific,no,no,indirect,yes,E4,both zero in current compiled model; no calibrated compliance,,stiffness=[0.0]; damping=[0.0],external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
E02,tendon,tendon_lengthspring,spatial tendon springlength,spring rest length,m,tendon-specific,no,no,indirect,yes,E4,nonzero rest length does not create elasticity when stiffness is zero,springlength=0.0161378..0.449497 m,external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
F01,constraint,eq_data,joint equality polycoef,knee/patella dependent-coordinate mapping,mixed,constraint-specific,yes for coherent change,yes,no,itself,E2,frozen; geometry changes must be compatible with 14 knee/patella equalities,14 knee/patella polynomial equalities; 27 total model equalities,external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
MODEL_SUMMARY,compiled model,dimensions,compiled MyoLeg supine model,80 muscle actuators; 80 tendons; 384 sites; 89 geoms; 27 equalities,count,model,no,no,no,yes,implementation,hip joint 1; knee joint 6; inventory reflects actual compiled model,compiled values,external_simulation/myoleg_supine_rehab_v1/myoleg_supine_right_v1.xml
