case_id,subject_id,scenario_name,case_class,development_origin,mismatch_family,mismatch_level,model_mismatch_terms,truth_generator_parameters_json,truth_generator_seed,method,bo_variant,budget,query_ids_json,final_selected_trajectory,final_alpha_json,J_final_truth,oracle_J,final_regret,first_query_residual,reference_fallback_available,unqueried_candidate_selected,top1_regret,adaptivity_gain,rescued,query2_id,query3_id
baseline__matched_linear,baseline,matched_linear,MATCHED,ORIGINAL_P2_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802,BO_A_FULL_FEASIBLE_K3,BO_A_FULL_FEASIBLE,3,"[""asym_h-1.000_k-5.000_p+0.03000"",""asym_h+2.000_k-5.000_p+0.03000"",""asym_h+2.000_k-5.000_p+0.01500""]",asym_h+2.000_k-5.000_p+0.03000,"[2.0,-5.0,0.0299999999999999]",0.967633075336,0.967633075336,0,3.03312930328e-13,True,False,0.00532677863239,0.00532677863239,True,asym_h+2.000_k-5.000_p+0.03000,asym_h+2.000_k-5.000_p+0.01500
hip_stiff__matched_linear,hip_stiff,matched_linear,MATCHED,ORIGINAL_P2_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802,BO_A_FULL_FEASIBLE_K3,BO_A_FULL_FEASIBLE,3,"[""asym_h-1.000_k-5.000_p+0.03000"",""asym_h+1.250_k-5.000_p+0.03000"",""asym_h+1.250_k-5.000_p+0.01750""]",asym_h+1.250_k-5.000_p+0.03000,"[1.25,-5.0,0.0299999999999999]",0.970905205669,0.970905205669,0,3.33066907388e-16,True,False,0.000119909597779,0.000119909597779,True,asym_h+1.250_k-5.000_p+0.03000,asym_h+1.250_k-5.000_p+0.01750
knee_stiff__matched_linear,knee_stiff,matched_linear,MATCHED,ORIGINAL_P2_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802,BO_A_FULL_FEASIBLE_K3,BO_A_FULL_FEASIBLE,3,"[""asym_h-1.000_k-5.000_p+0.03000"",""asym_h+2.000_k-5.000_p+0.03000"",""asym_h+2.000_k-5.000_p+0.02000""]",asym_h+2.000_k-5.000_p+0.03000,"[2.0,-5.0,0.0299999999999999]",0.974773873094,0.974773873094,0,0,True,False,0.0044735804462,0.0044735804462,True,asym_h+2.000_k-5.000_p+0.03000,asym_h+2.000_k-5.000_p+0.02000
heavy_leg__matched_linear,heavy_leg,matched_linear,MATCHED,ORIGINAL_P2_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802,BO_A_FULL_FEASIBLE_K3,BO_A_FULL_FEASIBLE,3,"[""asym_h-1.000_k-5.000_p+0.00500"",""asym_h+2.000_k-5.000_p+0.00250"",""asym_h+2.000_k-5.000_p+0.01250""]",asym_h+2.000_k-5.000_p+0.00250,"[2.0,-5.0,0.0025]",0.963203117167,0.963203117167,0,0,True,False,0.00698009389859,0.00698009389859,True,asym_h+2.000_k-5.000_p+0.00250,asym_h+2.000_k-5.000_p+0.01250
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,MISMATCH,ORIGINAL_P2_DEVELOPMENT,nonlinear_stiffness,MILD,nonlinear_stiffness,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.8,""k3_knee_nm_per_rad3"":0.6,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260803,BO_A_FULL_FEASIBLE_K3,BO_A_FULL_FEASIBLE,3,"[""asym_h+1.000_k-5.000_p+0.03000"",""asym_h+2.000_k-5.000_p+0.03000"",""asym_h+2.000_k-5.000_p+0.02000""]",asym_h+2.000_k-5.000_p+0.02000,"[2.0,-5.0,0.02]",0.963691086918,0.963677775631,1.33112875853e-05,-0.00700889164658,True,False,0.00096190254152,0.000948591253935,True,asym_h+2.000_k-5.000_p+0.03000,asym_h+2.000_k-5.000_p+0.02000
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,MISMATCH,ORIGINAL_P2_DEVELOPMENT,hip_knee_coupling,MILD,hip_knee_coupling,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.4,""k_coupling_nm_per_rad"":1.5,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260805,BO_A_FULL_FEASIBLE_K3,BO_A_FULL_FEASIBLE,3,"[""asym_h+1.000_k-5.000_p+0.03000"",""asym_h+2.000_k-5.000_p+0.03000"",""asym_h+2.000_k-5.000_p+0.02000""]",asym_h+2.000_k-5.000_p+0.03000,"[2.0,-5.0,0.0299999999999999]",0.966418561408,0.966417558296,1.00311262075e-06,-0.000889982739408,True,False,0.0018231537629,0.00182215065028,True,asym_h+2.000_k-5.000_p+0.03000,asym_h+2.000_k-5.000_p+0.02000
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,MISMATCH,ORIGINAL_P2_DEVELOPMENT,nonlinear_damping,MILD,nonlinear_damping,"{""b2_hip_nm_s2_per_rad2"":0.15,""b2_knee_nm_s2_per_rad2"":0.12,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260807,BO_A_FULL_FEASIBLE_K3,BO_A_FULL_FEASIBLE,3,"[""asym_h+1.000_k-5.000_p+0.03000"",""asym_h+2.000_k-5.000_p+0.03000"",""asym_h+2.000_k-5.000_p+0.01500""]",asym_h+2.000_k-5.000_p+0.03000,"[2.0,-5.0,0.0299999999999999]",0.967637357491,0.967637357491,0,3.64568117039e-06,True,False,0.00172471018966,0.00172471018966,True,asym_h+2.000_k-5.000_p+0.03000,asym_h+2.000_k-5.000_p+0.01500
baseline__structured_residual,baseline,structured_residual,MISMATCH,ORIGINAL_P2_DEVELOPMENT,structured_residual,SINGLE_DEFINED_LEVEL,structured_residual,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":1.0,""residual_torque_scale_nm"":0.6}",20260808,BO_A_FULL_FEASIBLE_K3,BO_A_FULL_FEASIBLE,3,"[""asym_h+1.000_k-5.000_p+0.03000"",""asym_h+2.000_k-5.000_p+0.00750"",""asym_h+2.000_k-5.000_p+0.03000""]",asym_h+2.000_k-5.000_p+0.03000,"[2.0,-5.0,0.0299999999999999]",0.967882188675,0.967882188675,0,0.000212470617216,True,False,0.00172385675505,0.00172385675505,True,asym_h+2.000_k-5.000_p+0.00750,asym_h+2.000_k-5.000_p+0.03000
baseline__combined_mild,baseline,combined_mild,MISMATCH,ORIGINAL_P2_DEVELOPMENT,combined,MILD,nonlinear_stiffness;hip_knee_coupling;nonlinear_damping;structured_residual,"{""b2_hip_nm_s2_per_rad2"":0.08,""b2_knee_nm_s2_per_rad2"":0.06,""k3_hip_nm_per_rad3"":0.5,""k3_knee_nm_per_rad3"":0.4,""k_coupling_asymmetry"":0.6,""k_coupling_nm_per_rad"":1.0,""residual_torque_frequency"":1.0,""residual_torque_scale_nm"":0.3}",20260809,BO_A_FULL_FEASIBLE_K3,BO_A_FULL_FEASIBLE,3,"[""asym_h+1.000_k-5.000_p+0.03000"",""asym_h+2.000_k-5.000_p+0.03000"",""asym_h+2.000_k-5.000_p+0.02000""]",asym_h+2.000_k-5.000_p+0.02000,"[2.0,-5.0,0.02]",0.96411278486,0.96410723577,5.54908987538e-06,-0.00533301107338,True,False,0.00138546013935,0.00137991104947,True,asym_h+2.000_k-5.000_p+0.03000,asym_h+2.000_k-5.000_p+0.02000
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,MATCHED,POST_REJECTION_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802,BO_A_FULL_FEASIBLE_K3,BO_A_FULL_FEASIBLE,3,"[""asym_h-1.000_k-5.000_p+0.01500"",""asym_h+2.000_k-5.000_p+0.01250"",""asym_h+2.000_k-5.000_p+0.02500""]",asym_h+2.000_k-5.000_p+0.01250,"[2.0,-5.0,0.0125]",0.964933220542,0.964933220542,0,4.4408920985e-15,True,False,0.00647195934857,0.00647195934857,True,asym_h+2.000_k-5.000_p+0.01250,asym_h+2.000_k-5.000_p+0.02500
