case_id,subject_id,scenario_name,policy_id,semantic_role,research_status,number_of_executed_trials,number_of_exploit_trials,number_of_explore_trials,number_of_bundle_authorized_trials,number_of_executed_false_improvements,reference_actual_J,final_best_actual_J,actual_J_reduction_from_reference,cumulative_regret_vs_best_before,model_update_count,final_best_alpha_hip,final_best_alpha_knee,final_best_alpha_phase,final_operating_alpha_hip,final_operating_alpha_knee,final_operating_alpha_phase,stop_reason,trial_budget,heldout_final_test_used,calibration_cases_used_for_policy_outcomes,new_policy_default_enabled,human_ready,robot_motion_approved,model_reliability_status,evaluated_decision_rounds,missed_improvement_rounds,premature_conservative_stops,correct_local_stops,final_selected_J_truth,truth_optimum_trajectory_id,truth_optimum_J,truth_optimum_alpha_hip,truth_optimum_alpha_knee,truth_optimum_alpha_phase,global_truth_regret,final_local_regret,post_policy_truth_fed_back
baseline__matched_linear,baseline,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,CURRENT_RESEARCH_CANDIDATE_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.971228759614,0.028771240386,0.184661545196,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.971233542624,asym_h+2.000_k-5.000_p+0.03000,0.967633075336,2,-5,0.03,0.00360046728743,0.000454501593502,False
baseline__matched_linear,baseline,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,CATEGORICAL_DIRECTION_EVIDENCE_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.971228759614,0.028771240386,0.184661545196,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.971233542624,asym_h+2.000_k-5.000_p+0.03000,0.967633075336,2,-5,0.03,0.00360046728743,0.000454501593502,False
baseline__matched_linear,baseline,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,TRANSPARENT_INTERVAL_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.971228759614,0.028771240386,0.184661545196,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.971233542624,asym_h+2.000_k-5.000_p+0.03000,0.967633075336,2,-5,0.03,0.00360046728743,0.000454501593502,False
baseline__matched_linear,baseline,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,CUMULATIVE_ENDPOINT_SEMANTICS_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.971228759614,0.028771240386,0.184661545196,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.971233542624,asym_h+2.000_k-5.000_p+0.03000,0.967633075336,2,-5,0.03,0.00360046728743,0.000454501593502,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,CURRENT_RESEARCH_CANDIDATE_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.971075819116,0.0289241808835,0.20038419542,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.971078595998,asym_h+1.250_k-5.000_p+0.03000,0.970905205669,1.25,-5,0.03,0.000173390328566,1.77300046094e-05,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,CATEGORICAL_DIRECTION_EVIDENCE_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.971075819116,0.0289241808835,0.20038419542,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.971078595998,asym_h+1.250_k-5.000_p+0.03000,0.970905205669,1.25,-5,0.03,0.000173390328566,1.77300046094e-05,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,TRANSPARENT_INTERVAL_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.971075819116,0.0289241808835,0.20038419542,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.971078595998,asym_h+1.250_k-5.000_p+0.03000,0.970905205669,1.25,-5,0.03,0.000173390328566,1.77300046094e-05,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,CUMULATIVE_ENDPOINT_SEMANTICS_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.971075819116,0.0289241808835,0.20038419542,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.971078595998,asym_h+1.250_k-5.000_p+0.03000,0.970905205669,1.25,-5,0.03,0.000173390328566,1.77300046094e-05,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,CURRENT_RESEARCH_CANDIDATE_COMPARATOR,RESEARCH_ONLY,8,0,8,0,0,1,1,0,0,8,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,9,0,0,1,1,asym_h+2.000_k-5.000_p+0.03000,0.974773873094,2,-5,0.03,0.0252261269059,0.00111915879411,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,CATEGORICAL_DIRECTION_EVIDENCE_COMPARATOR,RESEARCH_ONLY,8,0,8,0,0,1,1,0,0,8,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,9,0,0,1,1,asym_h+2.000_k-5.000_p+0.03000,0.974773873094,2,-5,0.03,0.0252261269059,0.00111915879411,False
