family_id,actual_fields,classification,classification_name,reason,eligible_for_cohort_generation,learner_overlap,range_status,smoke_tested
SEGMENT_MASS_INERTIA_COUPLED_SCALE,body_mass; body_inertia,A,PRIMARY SUBJECT HETEROGENEITY,Direct segment inertial properties with a clear subject-level interpretation when mass and inertia are changed together and COM is fixed.,YES_WITH_RANGE_EVIDENCE,partial mass-related behavior but structurally richer than one learner mass_scale,RANGE_REQUIRES_EXTERNAL_EVIDENCE,True
SEGMENT_COM_LOCATION,body_ipos,D,STRESS TEST ONLY,COM is interpretable but independent displacement without a segment-scaling protocol can be inertially inconsistent.,NO_IN_V1,not directly represented,RANGE_REQUIRES_EXTERNAL_EVIDENCE,False
SEGMENT_LENGTH_AND_GEOMETRY,body_pos; geom_pos; geom_size; site_pos,E,DO NOT PERTURB,"Length changes require coordinated relocation of attachment sites, wrap geometry, tendon paths, joint centers and moment-arm revalidation.",NO,not directly represented,NOT_APPLICABLE,False
MUSCLE_FORCE_CAPACITY_SCALE,actuator_gainprm[2]; actuator_biasprm[2] (XML force),A,PRIMARY SUBJECT HETEROGENEITY,The frozen XML force field is MuJoCo peak active force F0; grouped scaling remains mapped to named actuators and their tendon transmissions.,ACTIVE_CONDITION_ONLY_OR_MUTUALLY_EXCLUSIVE_WITH_FP_MAX_IN_P0,independent structural muscle law; no true K or B is assigned,RANGE_REQUIRES_EXTERNAL_EVIDENCE,True
BIARTICULAR_FORCE_CAPACITY_SCALE,actuator_gainprm[2]; actuator_biasprm[2] for structurally verified hip+knee spanning actuators,A,PRIMARY SUBJECT HETEROGENEITY,Changes native tendon-transmitted hip-knee coupling without adding a synthetic coupling torque equation.,ACTIVE_CONDITION_ONLY_OR_MUTUALLY_EXCLUSIVE_WITH_BIARTICULAR_FP_MAX_IN_P0,not a five-parameter learner truth coordinate,RANGE_REQUIRES_EXTERNAL_EVIDENCE,True
MUSCLE_PASSIVE_FP_MAX_SCALE,actuator_gainprm[7]; actuator_biasprm[7] (XML fpmax),A,PRIMARY SUBJECT HETEROGENEITY,fpmax directly controls passive FLV magnitude and can encode passive-property heterogeneity while retaining the native muscle law.,YES_WITH_RANGE_EVIDENCE,independent nonlinear muscle law; no true learner stiffness is assigned,RANGE_REQUIRES_EXTERNAL_EVIDENCE,True
BIARTICULAR_PASSIVE_FP_MAX_SCALE,actuator_gainprm[7]; actuator_biasprm[7] for structurally verified hip+knee spanning actuators,A,PRIMARY SUBJECT HETEROGENEITY,Provides a direct passive-property factor on the native biarticular transmissions without adding a coupling equation.,YES_WITH_RANGE_EVIDENCE,independent nonlinear passive coupling; no true learner stiffness is assigned,RANGE_REQUIRES_EXTERNAL_EVIDENCE,True
MUSCLE_OPERATING_RANGE,actuator_gainprm[0:2]; actuator_biasprm[0:2] (XML range),D,STRESS TEST ONLY,Scientifically meaningful but high-impact and model-specific; changing it alters L0/LT mapping and needs muscle-specific evidence.,NO_UNTIL_MUSCLE_SPECIFIC_EVIDENCE,not directly represented,RANGE_REQUIRES_EXTERNAL_EVIDENCE,False
ACTUATOR_LENGTH_RANGE,actuator_lengthrange,E,DO NOT PERTURB,Compiled tendon-transmission length limits define the normalization map; they are not physiological normalized fiber length and must follow geometry.,NO,not directly represented,NOT_APPLICABLE,False
MUSCLE_FLV_SHAPE_OTHER,"gainprm/biasprm lmin,lmax,vmax,fvmax",D,STRESS TEST ONLY,These alter active/passive FLV shape; official semantics exist but no project-specific subject ranges or coupled time-constant protocol are frozen.,NO_UNTIL_RANGE_EVIDENCE,not directly represented,RANGE_REQUIRES_EXTERNAL_EVIDENCE,False
