artifact,consumer,usage_type
global_prediction_truth_comparison,lower_limb_sim.run_decision_relevant_global_model_reliability,formal producer
global_prediction_truth_comparison,lower_limb_sim.test_decision_relevant_global_model_reliability,manifest-only normal regression; former direct row-count read removed
global_prediction_truth_comparison,lower_limb_sim.large_artifact_reproduction,full or representative deterministic regeneration
truth_landscape_baseline,lower_limb_sim.run_p2_revision_root_cause_audit,formal producer
truth_landscape_baseline,lower_limb_sim.test_p2_revision_root_cause_audit,manifest and small-summary normal regression; former direct CSV read removed
truth_landscape_baseline,lower_limb_sim.large_artifact_reproduction,full or representative deterministic regeneration
truth_landscape_hip_stiff,lower_limb_sim.run_p2_revision_root_cause_audit,formal producer
truth_landscape_hip_stiff,lower_limb_sim.test_p2_revision_root_cause_audit,manifest and small-summary normal regression; former direct CSV read removed
truth_landscape_hip_stiff,lower_limb_sim.large_artifact_reproduction,full or representative deterministic regeneration
truth_landscape_knee_stiff,lower_limb_sim.run_p2_revision_root_cause_audit,formal producer
truth_landscape_knee_stiff,lower_limb_sim.test_p2_revision_root_cause_audit,manifest and small-summary normal regression; former direct CSV read removed
truth_landscape_knee_stiff,lower_limb_sim.large_artifact_reproduction,full or representative deterministic regeneration
truth_landscape_heavy_leg,lower_limb_sim.run_p2_revision_root_cause_audit,formal producer
truth_landscape_heavy_leg,lower_limb_sim.test_p2_revision_root_cause_audit,manifest and small-summary normal regression; former direct CSV read removed
truth_landscape_heavy_leg,lower_limb_sim.large_artifact_reproduction,full or representative deterministic regeneration
truth_landscape_knee_stiff,lower_limb_sim.run_p2_revision_v2_research_prototype,direct formal-development input; regenerate root artifact first
truth_landscape_knee_stiff,lower_limb_sim.test_p2_revision_v2_research_prototype,manifest-only source-SHA regression; former direct file hash removed
