parameter_or_factor,source_id,source,year,population_or_model,sample_size,reported_quantity,reported_central_tendency,reported_variability_or_range,evidence_class,mapping_to_myoleg,limitation,used_for_primary_range
MYOLEG_MODEL_PROVENANCE,MYOSUITE_DOCS,Models and Tasks - MyoSuite documentation: myoLeg,2026,official MyoSuite MyoLeg documentation,NA,model relationship,NA,10 joints; 20 DoF; 80 MTUs; Rajagopal is a close reference,E2,"direct official provenance for model family, not proof of one-to-one parameter conversion",documentation says close reference rather than exact conversion,NO
MYOLEG_MODEL_PROVENANCE,RAJAGOPAL2016,Full-Body Musculoskeletal Model for Muscle-Driven Simulation of Human Gait,2016,OpenSim generic healthy-young gait model,21/22 cadavers plus MRI from 24 young healthy subjects,37 DoF; 80 lower-limb Hill-type MTUs; musculotendon architecture,"generic 75 kg, 170 cm male skeleton",paper states experimental variability is not captured by the generic model,E2,source-model context only,OpenSim Millard muscle/tendon parameters are not one-to-one with MuJoCo FLV fields,NO
FEMUR_MASS_INERTIA_SCALE,KUDZIA2022,Estimating body segment parameters from three-dimensional human body scans,2022,"healthy young adults; 10 male, 11 female; repeated 3D scans",21,thigh mass and three-axis inertia,mass male 10.4 kg; female 12.0 kg,mass SD male 0.8 kg (7.7%); female 1.4 kg (11.7%); inertia SD/mean about 10.8-21.3% across sex/axis,E2,fractional thigh-mass variability -> femur_r mass scale; same inertia scale is approximate,small young sample; 3D scan plus density model; no covariance; nominal MyoLeg subject is not the study mean,YES
TIBIA_PATELLA_MASS_INERTIA_SCALE,KUDZIA2022,Estimating body segment parameters from three-dimensional human body scans,2022,"healthy young adults; 10 male, 11 female; repeated 3D scans",21,shank mass and three-axis inertia,mass male 3.5 kg; female 3.9 kg,mass SD male 0.4 kg (11.4%); female 0.5 kg (12.8%); inertia SD/mean about 17.0-23.7% across sex/axis,E2,fractional shank-mass variability -> tibia_r plus mechanically coupled patella_r,patella not separate; coupled inertia scaling and fixed COM are approximations,YES
FOOT_COMPLEX_MASS_INERTIA_SCALE,KUDZIA2022,Estimating body segment parameters from three-dimensional human body scans,2022,"healthy young adults; 10 male, 11 female; repeated 3D scans",21,foot mass and three-axis inertia,mass male/female 1.1 kg,mass SD 0.2 kg (18.2%); inertia SD/mean about 24-40%; small segments had >15% repeat-scan CV in some measures,E2,fractional foot-mass variability -> talus_r/calcn_r/toes_r complex,small-segment measurement uncertainty contributes to the observed variability,YES_WITH_LOW_CONFIDENCE
ALL_ANTHROPOMETRY_FACTORS,DURKIN2003,Analysis of body segment parameter differences between four human populations and the estimation errors of four popular mathematical models,2003,four adult populations measured by DXA,not extracted for numeric range use,"segment mass, COM and radius of gyration",NA,significant population differences and large within-group individual differences,E1,supports nonzero subject heterogeneity and correlated anthropometric predictors,abstract does not provide factor-specific SD used for bounds,CONTEXT_ONLY
ALL_PASSIVE_FP_MAX_FACTORS,MUJOCO_MUSCLE_36,MuJoCo 3.6 Modeling - Muscle actuators,2026,MuJoCo 3.6 actuator model,NA,FLV and fpmax semantics,fpmax is passive normalized force at lmax relative to F0,no human population interval,E2,direct field semantics only,abstract actuator-curve parameter; inelastic tendon and inferred L0/LT mapping,NO
HIP_ONLY;KNEE_ONLY;HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,SILDER2007,Identification of passive elastic joint moment-angle relationships in the lower extremity,2007,"20 healthy young adults; 9 male, 11 female",20,subject-specific passive hip/knee/ankle moment-angle functions with uni/biarticular terms,model RMSE 2.5/1.4/0.7 Nm at hip/knee/ankle,subject-specific fitted functions; no MuJoCo fpmax scale distribution,E3,"supports passive and biarticular heterogeneity, not a scalar fpmax conversion",joint moments include multiple tissues and exponential offsets/gains,NO_NUMERIC_MAPPING
HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,WINTER2010,The force-length curves of the human rectus femoris and gastrocnemius muscles in vivo,2010,28 nonspecifically trained human subjects,28,expressed force-length sections of rectus femoris and gastrocnemius,NA,intersubject variability differs between muscles,E3,supports group/muscle differences in force-length behavior,not passive fpmax and not a scale interval,NO
ALL_PASSIVE_FP_MAX_FACTORS,UHLRICH2022_CALIBRATION,Calibration of Passive Muscle Force Curves in OpenSim Musculoskeletal Models,2022,Rajagopal/OpenSim model calibrated to Silder passive moments,model calibration to 20-subject aggregate data,passive curve strainAtZeroForce and strainAtOneNormForce,NA,model-specific tuned curve shifts; no population fpmax distribution,E2,"shows the source-model passive curve needs calibration but changes x-axis curve parameters, not MuJoCo fpmax amplitude",cannot be converted to group-specific fpmax scale,NO_NUMERIC_MAPPING
ALL_PASSIVE_FP_MAX_FACTORS,PRIOR_FROZEN_SMOKE,MYOLEG_VIRTUAL_PATIENT_COHORT_DESIGN_V1 SINGLE_PARAMETER_SENSITIVITY_RESULTS.csv,2026,frozen native MyoLeg P0 V2 replay,one nominal model; deterministic +/-5% perturbations,numerical integrity under grouped fpmax scaling,nominal scale 1.0,0.95-1.05 passed; not a physiological range,E4,direct numerical precedent for the exact compiled fields and frozen groups,single-model sensitivity only,YES_SYNTHETIC_ONLY
