factor_a,factor_b,scope,classification,evidence,source_ids,sampling_action
FEMUR_MASS_INERTIA_SCALE,TIBIA_PATELLA_MASS_INERTIA_SCALE,SCHEME_A,POSSIBLY_CORRELATED,"segment masses share body-size/sex/morphology predictors, but no pairwise covariance was extracted",DURKIN2003;KUDZIA2022,do not claim statistical independence; no covariance matrix frozen
FEMUR_MASS_INERTIA_SCALE,FOOT_COMPLEX_MASS_INERTIA_SCALE,SCHEME_A,POSSIBLY_CORRELATED,"segment masses share body-size/sex/morphology predictors, but no pairwise covariance was extracted",DURKIN2003;KUDZIA2022,do not claim statistical independence; no covariance matrix frozen
TIBIA_PATELLA_MASS_INERTIA_SCALE,FOOT_COMPLEX_MASS_INERTIA_SCALE,SCHEME_A,POSSIBLY_CORRELATED,"segment masses share body-size/sex/morphology predictors, but no pairwise covariance was extracted",DURKIN2003;KUDZIA2022,do not claim statistical independence; no covariance matrix frozen
FEMUR_MASS_INERTIA_SCALE,HIP_ONLY_PASSIVE_FP_MAX_SCALE,SCHEME_A,NO_USEFUL_EVIDENCE,no quantitative evidence maps segment scale to MuJoCo group fpmax scale,RAJAGOPAL2016;MUJOCO_MUSCLE_36,marginal space-filling only; independence is a synthetic design limitation
FEMUR_MASS_INERTIA_SCALE,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,SCHEME_A,NO_USEFUL_EVIDENCE,no quantitative evidence maps segment scale to MuJoCo group fpmax scale,RAJAGOPAL2016;MUJOCO_MUSCLE_36,marginal space-filling only; independence is a synthetic design limitation
FEMUR_MASS_INERTIA_SCALE,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,SCHEME_A,NO_USEFUL_EVIDENCE,no quantitative evidence maps segment scale to MuJoCo group fpmax scale,RAJAGOPAL2016;MUJOCO_MUSCLE_36,marginal space-filling only; independence is a synthetic design limitation
TIBIA_PATELLA_MASS_INERTIA_SCALE,HIP_ONLY_PASSIVE_FP_MAX_SCALE,SCHEME_A,NO_USEFUL_EVIDENCE,no quantitative evidence maps segment scale to MuJoCo group fpmax scale,RAJAGOPAL2016;MUJOCO_MUSCLE_36,marginal space-filling only; independence is a synthetic design limitation
TIBIA_PATELLA_MASS_INERTIA_SCALE,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,SCHEME_A,NO_USEFUL_EVIDENCE,no quantitative evidence maps segment scale to MuJoCo group fpmax scale,RAJAGOPAL2016;MUJOCO_MUSCLE_36,marginal space-filling only; independence is a synthetic design limitation
TIBIA_PATELLA_MASS_INERTIA_SCALE,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,SCHEME_A,NO_USEFUL_EVIDENCE,no quantitative evidence maps segment scale to MuJoCo group fpmax scale,RAJAGOPAL2016;MUJOCO_MUSCLE_36,marginal space-filling only; independence is a synthetic design limitation
FOOT_COMPLEX_MASS_INERTIA_SCALE,HIP_ONLY_PASSIVE_FP_MAX_SCALE,SCHEME_A,NO_USEFUL_EVIDENCE,no quantitative evidence maps segment scale to MuJoCo group fpmax scale,RAJAGOPAL2016;MUJOCO_MUSCLE_36,marginal space-filling only; independence is a synthetic design limitation
FOOT_COMPLEX_MASS_INERTIA_SCALE,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,SCHEME_A,NO_USEFUL_EVIDENCE,no quantitative evidence maps segment scale to MuJoCo group fpmax scale,RAJAGOPAL2016;MUJOCO_MUSCLE_36,marginal space-filling only; independence is a synthetic design limitation
FOOT_COMPLEX_MASS_INERTIA_SCALE,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,SCHEME_A,NO_USEFUL_EVIDENCE,no quantitative evidence maps segment scale to MuJoCo group fpmax scale,RAJAGOPAL2016;MUJOCO_MUSCLE_36,marginal space-filling only; independence is a synthetic design limitation
HIP_ONLY_PASSIVE_FP_MAX_SCALE,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,SCHEME_A,POSSIBLY_CORRELATED,"common tissue/system influences are plausible, but groupwise fpmax covariance is unavailable",SILDER2007;WINTER2010,use common marginal interval; do not invent covariance
HIP_ONLY_PASSIVE_FP_MAX_SCALE,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,SCHEME_A,POSSIBLY_CORRELATED,"common tissue/system influences are plausible, but groupwise fpmax covariance is unavailable",SILDER2007;WINTER2010,use common marginal interval; do not invent covariance
KNEE_ONLY_PASSIVE_FP_MAX_SCALE,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,SCHEME_A,POSSIBLY_CORRELATED,"common tissue/system influences are plausible, but groupwise fpmax covariance is unavailable",SILDER2007;WINTER2010,use common marginal interval; do not invent covariance
GLOBAL_RIGHT_TARGET_FP_MAX_SCALE,HIP_ONLY_PASSIVE_FP_MAX_SCALE,NON_SCHEME_A_STRUCTURAL_EXCLUSION,KNOWN_CORRELATED,the global factor algebraically contains each group-specific scaling direction,PRIOR_FROZEN_SMOKE,global fpmax factor is excluded from Scheme A
GLOBAL_RIGHT_TARGET_FP_MAX_SCALE,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,NON_SCHEME_A_STRUCTURAL_EXCLUSION,KNOWN_CORRELATED,the global factor algebraically contains each group-specific scaling direction,PRIOR_FROZEN_SMOKE,global fpmax factor is excluded from Scheme A
GLOBAL_RIGHT_TARGET_FP_MAX_SCALE,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,NON_SCHEME_A_STRUCTURAL_EXCLUSION,KNOWN_CORRELATED,the global factor algebraically contains each group-specific scaling direction,PRIOR_FROZEN_SMOKE,global fpmax factor is excluded from Scheme A
ALL_MASS_FACTORS,FUTURE_ACTIVE_CONDITION_F0_FORCE_CAPACITY,NON_SCHEME_A_FUTURE_ACTIVE_CONDITION,POSSIBLY_CORRELATED,Rajagopal reports total lower-limb muscle volume correlated with subject mass and height,RAJAGOPAL2016,future active-condition design must not assume independence without quantitative review
