case_id,subject_id,scenario,case_class,policy_id,executed_trial_count,natural_stop_reached,natural_stop_iteration,stop_reason,diagnostic_cap_reached,diagnostic_cap,diagnostic_horizon_status,human_trial_recommendation
baseline__matched_linear,baseline,matched_linear,MATCHED_POSITIVE_CONTROL,P0_SUPPORTED_ONLY_GREEDY,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__matched_linear,baseline,matched_linear,MATCHED_POSITIVE_CONTROL,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__matched_linear,baseline,matched_linear,MATCHED_POSITIVE_CONTROL,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,13,True,14,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
hip_stiff__matched_linear,hip_stiff,matched_linear,MATCHED_POSITIVE_CONTROL,P0_SUPPORTED_ONLY_GREEDY,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
hip_stiff__matched_linear,hip_stiff,matched_linear,MATCHED_POSITIVE_CONTROL,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
hip_stiff__matched_linear,hip_stiff,matched_linear,MATCHED_POSITIVE_CONTROL,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,13,True,14,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
knee_stiff__matched_linear,knee_stiff,matched_linear,MATCHED_POSITIVE_CONTROL,P0_SUPPORTED_ONLY_GREEDY,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
knee_stiff__matched_linear,knee_stiff,matched_linear,MATCHED_POSITIVE_CONTROL,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
knee_stiff__matched_linear,knee_stiff,matched_linear,MATCHED_POSITIVE_CONTROL,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,8,True,9,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
heavy_leg__matched_linear,heavy_leg,matched_linear,MATCHED_POSITIVE_CONTROL,P0_SUPPORTED_ONLY_GREEDY,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
