case_id,subject_id,scenario_name,stopping_candidate_id,consecutive_exact_zero_rounds_required,trigger_observed,counterfactual_stop_after_iteration,current_executed_trial_count,counterfactual_executed_trial_count,executed_trials_avoided,later_exploit_trials_in_frozen_history,later_accepted_best_changes_in_frozen_history,features,support_alone_causes_continuation,truth_feature_used,candidate_enabled,threshold_frozen,current_policy_modified
baseline__matched_linear,baseline,matched_linear,S0_CURRENT_P2,,False,,13,13,0,0,0,exact_parameter_change;exact_map_change;validation_error_change;new_exploit_eligibility;best_change;support_and_information_reported_separately,False,False,False,False,False
baseline__matched_linear,baseline,matched_linear,S1_STOP_AFTER_FIRST_EXACT_ZERO_DECISION_VALUE_EXPLORE,1,True,7,13,7,6,0,0,exact_parameter_change;exact_map_change;validation_error_change;new_exploit_eligibility;best_change;support_and_information_reported_separately,False,False,False,False,False
baseline__matched_linear,baseline,matched_linear,S2_STOP_AFTER_TWO_CONSECUTIVE_EXACT_ZERO_DECISION_VALUE_EXPLORES,2,True,8,13,8,5,0,0,exact_parameter_change;exact_map_change;validation_error_change;new_exploit_eligibility;best_change;support_and_information_reported_separately,False,False,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S0_CURRENT_P2,,False,,13,13,0,0,0,exact_parameter_change;exact_map_change;validation_error_change;new_exploit_eligibility;best_change;support_and_information_reported_separately,False,False,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S1_STOP_AFTER_FIRST_EXACT_ZERO_DECISION_VALUE_EXPLORE,1,True,7,13,7,6,0,0,exact_parameter_change;exact_map_change;validation_error_change;new_exploit_eligibility;best_change;support_and_information_reported_separately,False,False,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,S2_STOP_AFTER_TWO_CONSECUTIVE_EXACT_ZERO_DECISION_VALUE_EXPLORES,2,True,8,13,8,5,0,0,exact_parameter_change;exact_map_change;validation_error_change;new_exploit_eligibility;best_change;support_and_information_reported_separately,False,False,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S0_CURRENT_P2,,False,,8,8,0,0,0,exact_parameter_change;exact_map_change;validation_error_change;new_exploit_eligibility;best_change;support_and_information_reported_separately,False,False,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S1_STOP_AFTER_FIRST_EXACT_ZERO_DECISION_VALUE_EXPLORE,1,True,1,8,1,7,0,0,exact_parameter_change;exact_map_change;validation_error_change;new_exploit_eligibility;best_change;support_and_information_reported_separately,False,False,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S2_STOP_AFTER_TWO_CONSECUTIVE_EXACT_ZERO_DECISION_VALUE_EXPLORES,2,True,2,8,2,6,0,0,exact_parameter_change;exact_map_change;validation_error_change;new_exploit_eligibility;best_change;support_and_information_reported_separately,False,False,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_P2,,False,,13,13,0,0,0,exact_parameter_change;exact_map_change;validation_error_change;new_exploit_eligibility;best_change;support_and_information_reported_separately,False,False,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S1_STOP_AFTER_FIRST_EXACT_ZERO_DECISION_VALUE_EXPLORE,1,True,7,13,7,6,0,0,exact_parameter_change;exact_map_change;validation_error_change;new_exploit_eligibility;best_change;support_and_information_reported_separately,False,False,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S2_STOP_AFTER_TWO_CONSECUTIVE_EXACT_ZERO_DECISION_VALUE_EXPLORES,2,True,8,13,8,5,0,0,exact_parameter_change;exact_map_change;validation_error_change;new_exploit_eligibility;best_change;support_and_information_reported_separately,False,False,False,False,False
