case_id,subject_id,scenario_name,policy_id,iteration,executed_known_alpha_count,supported_point_count,new_supported_point_count,support_role,reliability_updated_from_support
baseline__matched_linear,baseline,matched_linear,P0_SUPPORTED_ONLY_GREEDY,0,1,7650,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__matched_linear,baseline,matched_linear,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,1,7650,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,1,7650,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,2,12100,4450,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,3,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,4,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,5,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,6,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,7,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P0_SUPPORTED_ONLY_GREEDY,0,1,7650,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
