case_id,policy_id,stop_reason,executed_trials,missed_candidate_count_at_or_before_stop,mechanism_components,primary_stop_root_cause,prospective_conclusion,prospective_conclusion_revised,data_role
prospective_subject_001__matched_linear,P2_V2A_G3_C0_S2_SENSITIVITY,STOP_DECISION_VALUE_ZERO_RUN_K,4,1,GUARD_BLOCKED_TRUE_IMPROVEMENT;EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,P2_V2_PROSPECTIVE_EVIDENCE_REJECTS_CURRENT_REVISION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__nonlinear_stiffness_strong,P2_V1_G0_C0_S0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,0,1,SINGLE_STEP_TOLERANCE_BLOCKED;EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,MULTIPLE_FACTORS,P2_V2_PROSPECTIVE_EVIDENCE_REJECTS_CURRENT_REVISION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,0,1,SINGLE_STEP_TOLERANCE_BLOCKED;EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,MULTIPLE_FACTORS,P2_V2_PROSPECTIVE_EVIDENCE_REJECTS_CURRENT_REVISION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G3_C0_S2_SENSITIVITY,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,0,1,SINGLE_STEP_TOLERANCE_BLOCKED;EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,MULTIPLE_FACTORS,P2_V2_PROSPECTIVE_EVIDENCE_REJECTS_CURRENT_REVISION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S1_SENSITIVITY,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,0,1,SINGLE_STEP_TOLERANCE_BLOCKED;EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,MULTIPLE_FACTORS,P2_V2_PROSPECTIVE_EVIDENCE_REJECTS_CURRENT_REVISION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S3_SENSITIVITY,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,0,1,SINGLE_STEP_TOLERANCE_BLOCKED;EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,MULTIPLE_FACTORS,P2_V2_PROSPECTIVE_EVIDENCE_REJECTS_CURRENT_REVISION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S2,STOP_DECISION_VALUE_ZERO_RUN_K,2,1,GUARD_BLOCKED_TRUE_IMPROVEMENT;EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,P2_V2_PROSPECTIVE_EVIDENCE_REJECTS_CURRENT_REVISION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__matched_linear,P2_V2A_G3_C0_S2_SENSITIVITY,STOP_DECISION_VALUE_ZERO_RUN_K,2,1,GUARD_BLOCKED_TRUE_IMPROVEMENT;EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,P2_V2_PROSPECTIVE_EVIDENCE_REJECTS_CURRENT_REVISION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S1_SENSITIVITY,STOP_DECISION_VALUE_ZERO_RUN_K,1,1,GUARD_BLOCKED_TRUE_IMPROVEMENT;EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,P2_V2_PROSPECTIVE_EVIDENCE_REJECTS_CURRENT_REVISION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S3_SENSITIVITY,STOP_DECISION_VALUE_ZERO_RUN_K,3,1,GUARD_BLOCKED_TRUE_IMPROVEMENT;EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,P2_V2_PROSPECTIVE_EVIDENCE_REJECTS_CURRENT_REVISION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
